topic,ele_code,ele_amount,name,long_name
11,9150,46623.34,EPSCoR Co-Funding,EPSCoR Co-Funding
11,104Y,72563.26,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
11,1536,89371.57,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
11,7412,96638.13,Advanced Tech Education Prog,Advanced Tech Education Prog
11,7645,133202.57,Discovery Research K-12,Discovery Research K-12
11,125Y,145774.2,Science of Science,Science of Science
11,8060,643833.5,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
11,7261,943880.58,Project & Program Evaluation,Project & Program Evaluation
11,162Y,1730755.55,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
11,1668,1750597.97,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
11,1997,3802165.91,NRT,NSF Research Traineeship (NRT)
11,7980,5704431.41,ECR-EHR Core Research,ECR-EHR Core Research
11,7172,33020048.95,Graduate Research Fellowship,Graduate Research Fellowship
12,055Y,3696.32,CISE Education and Workforce,CISE Education and Workforce
12,1998,3696.32,IUSE,Imploving Undergraduate STEM Education (IUSE)
12,7645,7835.45,Discovery Research K-12,Discovery Research K-12
12,8624,8504.93,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
12,125Y,11388.61,Science of Science,Science of Science
12,7959,11794,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
12,7275,13677.81,Cross-EF Activities,Cross-EF Activities
12,7699,15929.19,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
12,062Y,17624,GCR-Growing Convergence Research,GCR-Growing Convergence Research
12,7259,17624,AISL,Advencing Informal STEM Learning
12,107Y,23219.81,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
12,1253,30201.34,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
12,9150,31273.74,EPSCoR Co-Funding,EPSCoR Co-Funding
12,1536,35528.57,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
12,154Y,37462.61,GVF - Global Venture Fund,GVF - Global Venture Fund
