topic,ele_code,ele_amount
22,154Y,40905.99
22,7959,47176
22,104Y,67685.16
22,9150,70930.16
22,107Y,83591.33
22,1253,85570.47
22,162Y,140820.26
22,1536,815151.95
22,8060,848273.35
22,7412,902350.73
22,7261,1184477.15
22,7980,1496922.28
22,1997,3967479.51
22,1668,5062937.3
22,7172,167786752.5
23,7645,5876.58
23,055Y,6160.54
23,1998,6160.54
23,125Y,6833.17
23,7699,7964.59
23,7959,8845.5
23,8624,9313.55
23,062Y,13707.56
23,7259,13707.56
23,1253,15100.67
23,7275,27355.61
23,154Y,33456.55
23,107Y,46439.63
23,9150,54612.59
23,162Y,77141.85
23,104Y,101960.4
23,7980,459828.76
23,1536,654988.18
23,7412,685669.23
23,7261,834366.44
23,8060,1010581.54
23,1997,2527595.54
23,7172,24843579.7
23,1668,33261403.29
24,055Y,1232.11
24,1998,1232.11
24,125Y,6833.17
24,7699,10619.46
24,062Y,13707.56
24,7259,13707.56
24,7275,18237.08
24,7645,19588.61
24,107Y,23219.81
24,154Y,24714.44
24,1536,41402.74
24,9150,42029.56
24,8624,45959.66
24,7412,47054.51
24,7959,64867
24,1253,65436.24
24,104Y,75755.07
24,162Y,142197.87
24,7261,954736.47
24,7980,1248250.03
24,8060,1423873.79
24,1668,1923530.54
24,1997,3253465
24,7172,8452533.26
25,055Y,1642.81
25,1998,1642.81
25,125Y,9110.89
25,7645,13712.03
25,1253,20134.23
25,8624,21534.98
25,107Y,23219.81
25,1536,27136.99
25,7412,30366.57
25,062Y,62663.12
25,7259,62663.12
25,7699,92920.26
25,7275,95744.65
25,162Y,97354.44
25,9150,111348.32
25,7959,209343.5
25,8060,416804.42
25,154Y,542896.2
25,7980,582066.45
25,104Y,1134952.85
25,1668,1559093.33
25,7261,5909142.33
25,7172,8452533.26
25,1997,14418411.6
