topic,ele_code,freq,name,long_name
7,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
7,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
7,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
7,7645,1,Discovery Research K-12,Discovery Research K-12
7,125Y,1,Science of Science,Science of Science
7,7275,1,Cross-EF Activities,Cross-EF Activities
7,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
7,7259,1,AISL,Advencing Informal STEM Learning
7,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
7,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
7,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
7,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
7,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
7,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
7,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
7,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
7,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
7,7261,53,Project & Program Evaluation,Project & Program Evaluation
7,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
7,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
7,1997,121,NRT,NSF Research Traineeship (NRT)
8,055Y,1,CISE Education and Workforce,CISE Education and Workforce
8,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
8,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
8,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
8,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
8,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
8,7645,1,Discovery Research K-12,Discovery Research K-12
8,125Y,1,Science of Science,Science of Science
8,7275,1,Cross-EF Activities,Cross-EF Activities
8,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
8,7259,1,AISL,Advencing Informal STEM Learning
8,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
8,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
8,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
8,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
8,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
8,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
8,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
8,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
8,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
8,7261,53,Project & Program Evaluation,Project & Program Evaluation
8,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
8,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
8,1997,121,NRT,NSF Research Traineeship (NRT)
9,055Y,1,CISE Education and Workforce,CISE Education and Workforce
9,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
9,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
9,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
9,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
9,7645,1,Discovery Research K-12,Discovery Research K-12
9,125Y,1,Science of Science,Science of Science
9,7275,1,Cross-EF Activities,Cross-EF Activities
9,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
9,7259,1,AISL,Advencing Informal STEM Learning
9,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
9,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
9,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
9,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
9,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
9,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
9,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
9,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
9,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
9,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
9,7261,53,Project & Program Evaluation,Project & Program Evaluation
9,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
9,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
9,1997,121,NRT,NSF Research Traineeship (NRT)
10,055Y,1,CISE Education and Workforce,CISE Education and Workforce
10,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
10,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
10,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
10,7699,1,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
10,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
10,7645,1,Discovery Research K-12,Discovery Research K-12
10,125Y,1,Science of Science,Science of Science
10,7275,1,Cross-EF Activities,Cross-EF Activities
10,1998,1,IUSE,Imploving Undergraduate STEM Education (IUSE)
10,7259,1,AISL,Advencing Informal STEM Learning
10,104Y,3,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
10,8624,3,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
10,7172,3,Graduate Research Fellowship,Graduate Research Fellowship
10,154Y,3,GVF - Global Venture Fund,GVF - Global Venture Fund
10,1536,3,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
10,7412,4,Advanced Tech Education Prog,Advanced Tech Education Prog
10,9150,4,EPSCoR Co-Funding,EPSCoR Co-Funding
10,162Y,18,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
10,7980,49,ECR-EHR Core Research,ECR-EHR Core Research
10,7261,53,Project & Program Evaluation,Project & Program Evaluation
10,1668,62,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
10,8060,78,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
10,1997,121,NRT,NSF Research Traineeship (NRT)
11,055Y,1,CISE Education and Workforce,CISE Education and Workforce
11,062Y,1,GCR-Growing Convergence Research,GCR-Growing Convergence Research
11,7959,1,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
11,1253,1,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
11,107Y,1,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
