topic,ele_code,weight_freq,name,long_name
7,107Y,0.014,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
7,7959,0.015,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
7,7699,0.016,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
7,7645,0.018,Discovery Research K-12,Discovery Research K-12
7,1536,0.036,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
7,7275,0.036,Cross-EF Activities,Cross-EF Activities
7,104Y,0.038,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
7,7412,0.049,Advanced Tech Education Prog,Advanced Tech Education Prog
7,8624,0.057,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
7,9150,0.062,EPSCoR Co-Funding,EPSCoR Co-Funding
7,154Y,0.072,GVF - Global Venture Fund,GVF - Global Venture Fund
7,7172,0.077,Graduate Research Fellowship,Graduate Research Fellowship
7,162Y,0.558,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
7,7261,1.079,Project & Program Evaluation,Project & Program Evaluation
7,7980,1.494,ECR-EHR Core Research,ECR-EHR Core Research
7,1668,2.209,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
7,1997,3.469,NRT,NSF Research Traineeship (NRT)
7,8060,3.695,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
8,7959,0.006,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
8,7275,0.006,Cross-EF Activities,Cross-EF Activities
8,055Y,0.008,CISE Education and Workforce,CISE Education and Workforce
8,1998,0.008,IUSE,Imploving Undergraduate STEM Education (IUSE)
8,7645,0.01,Discovery Research K-12,Discovery Research K-12
8,7699,0.011,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
8,125Y,0.014,Science of Science,Science of Science
8,062Y,0.014,GCR-Growing Convergence Research,GCR-Growing Convergence Research
8,7259,0.014,AISL,Advencing Informal STEM Learning
8,1253,0.023,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
8,107Y,0.028,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
8,8624,0.032,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
8,104Y,0.033,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
8,1536,0.049,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
8,154Y,0.051,GVF - Global Venture Fund,GVF - Global Venture Fund
8,7412,0.072,Advanced Tech Education Prog,Advanced Tech Education Prog
8,7172,0.083,Graduate Research Fellowship,Graduate Research Fellowship
8,9150,0.112,EPSCoR Co-Funding,EPSCoR Co-Funding
8,162Y,0.629,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
8,7261,0.873,Project & Program Evaluation,Project & Program Evaluation
8,7980,1.274,ECR-EHR Core Research,ECR-EHR Core Research
8,1668,2.138,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
8,8060,2.546,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
8,1997,3.2,NRT,NSF Research Traineeship (NRT)
9,7699,0.003,Integrat & Collab Ed & Rsearch,Integrat & Collab Ed & Rsearch
9,1253,0.005,Office of Multidisciplinary Ac,Office of Multidisciplinary Activities
9,125Y,0.005,Science of Science,Science of Science
9,062Y,0.006,GCR-Growing Convergence Research,GCR-Growing Convergence Research
9,7259,0.006,AISL,Advencing Informal STEM Learning
9,7959,0.007,MacroSysBIO & NEON-Enabled,MacroSysBIO & NEON-Enabled Science
9,7275,0.009,Cross-EF Activities,Cross-EF Activities
9,1536,0.009,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
9,107Y,0.012,WoU-Windows on the Universe: T,WoU-Windows on the Universe: The Era of Multi-messenger Astrophysics
9,7412,0.013,Advanced Tech Education Prog,Advanced Tech Education Prog
9,104Y,0.015,NNA-Navigating the New Arctic,NNA-Navigating the New Arctic
9,055Y,0.025,CISE Education and Workforce,CISE Education and Workforce
9,1998,0.025,IUSE,Imploving Undergraduate STEM Education (IUSE)
9,154Y,0.045,GVF - Global Venture Fund,GVF - Global Venture Fund
9,8624,0.05,IntgStrat Undst Neurl&Cogn Sys,IntgStrat Undst Neurl&Cogn Sys
9,9150,0.05,EPSCoR Co-Funding,EPSCoR Co-Funding
9,7172,0.069,Graduate Research Fellowship,Graduate Research Fellowship
9,7645,0.176,Discovery Research K-12,Discovery Research K-12
9,162Y,0.616,ECR:BCSER Capcity STEM Ed Rscr,ECR:BCSER Capcity STEM Ed Rscr
9,7261,0.942,Project & Program Evaluation,Project & Program Evaluation
9,1668,0.949,CYBERCORPS: SCHLAR FOR SER,CYBERCORPS: SCHLAR FOR SER
9,1997,1.564,NRT,NSF Research Traineeship (NRT)
9,8060,2.615,Secure &Trustworthy Cyberspace,Secure and Trustworthy Cyberspace
9,7980,3.053,ECR-EHR Core Research,ECR-EHR Core Research
10,125Y,0.005,Science of Science,Science of Science
10,1536,0.007,S-STEM:Schlr Sci Tech Eng&Math,"S-STEM: Scholarships in Sci, Tech, Eng, and Math"
10,7645,0.012,Discovery Research K-12,Discovery Research K-12
10,7412,0.014,Advanced Tech Education Prog,Advanced Tech Education Prog
10,055Y,0.02,CISE Education and Workforce,CISE Education and Workforce
10,1998,0.02,IUSE,Imploving Undergraduate STEM Education (IUSE)
