document,topic,gamma
1820609,24,0.186440678
2100355,24,0.192307692
2000599,24,0.255319149
1821666,24,0.318897638
1934285,24,0.573076923
1856302,25,0.104166667
2021871,25,0.118421053
2121898,25,0.12
1922642,25,0.121037464
2022055,25,0.162162162
2125727,25,0.163076923
2125510,25,0.165730337
1828466,25,0.174603175
2125684,25,0.186732187
2021744,25,0.186936937
1828820,25,0.197222222
1922666,25,0.202216066
1922560,25,0.202380952
2125921,25,0.21257485
2125758,25,0.213776722
2105726,25,0.235474006
1828974,25,0.238605898
1922004,25,0.244094488
1828902,25,0.246290801
1828942,25,0.247910864
1922687,25,0.256476684
2022036,25,0.265853659
2125868,25,0.26618705
1828910,25,0.292613636
2022190,25,0.293144208
2021713,25,0.296187683
1922694,25,0.296568627
1828822,25,0.300940439
1828571,25,0.318318318
2021693,25,0.373015873
