document,topic,gamma,amount,ele_code
1806889,2,0.226415094,NA,NA
2105723,2,0.221402214,5.00E+05,1997
2105555,2,0.218637993,332184,1997
1955049,2,0.208459215,499449,1997
1856384,2,0.201834862,499898,"1997, 7261"
1954978,2,0.2,5.00E+05,1997
2105726,2,0.189602446,458240,1997
2105661,2,0.188498403,420299,1997
2105718,2,0.186440678,442383,1997
1855886,2,0.185628743,499649,"1997, 7261"
1955062,2,0.185628743,389619,1997
1806593,2,0.182033097,478443,"1997, 7261"
1806705,2,0.180212014,580188,1997
2105489,2,0.175710594,499870,1997
2138250,2,0.173770492,99879,1997
1954967,2,0.158501441,495993,1997
2140003,2,0.146666667,NA,NA
1807086,2,0.137829912,124413,1997
2139901,2,0.126666667,NA,NA
2041856,2,0.098484848,554762110,7172
1928820,2,0.092857143,233212,7261
1760831,2,0.086513995,733392,7980
1922666,2,0.085872576,2980383,"1997, 7261"
2023234,2,0.074404762,349552,162Y
2030148,2,0.073825503,200466,1997
2021791,2,0.066869301,2999999,"1997, 7275"
1828869,2,0.066666667,2997405,"1997, 7261"
1829075,2,0.065934066,2899112,"1997, 7261, 7699"
2043250,2,0.06557377,1540696,1668
2125764,2,0.06501548,3.00E+06,"107Y, 1997"
2125644,2,0.064516129,3.00E+06,1997
2120888,2,0.06424581,459224,162Y
1937738,2,0.063973064,342101,7980
2030313,2,0.062034739,163033,1997
2121898,2,0.061818182,227519,162Y
1842287,2,0.0609319,568831,"1536, 1668, 7412"
2043104,2,0.059139785,1324935,1668
1927550,2,0.056451613,481761,8060
1760894,2,0.053191489,2474180,7980
2125868,2,0.052757794,2999658,"104Y, 1997"
1829071,2,0.052459016,3.00E+06,"1997, 7261"
1922697,2,0.052023121,3115884,"1997, 7261"
2000599,2,0.051671733,831276,7980
2125528,2,0.051428571,2999967,1997
1821841,2,0.051282051,279448,8060
1828902,2,0.050445104,2994781,"1997, 7261"
1848789,2,0.05015674,30258,1997
2100343,2,0.047619048,655321,7980
2022168,2,0.047619048,3.00E+06,1997
2125758,2,0.047505938,2999701,1997
1829004,2,0.047486034,3069765,"1997, 7261"
2042416,2,0.046728972,1396284,1668
1922551,2,0.046511628,2998051,"1997, 7261"
1822030,2,0.045901639,37167,"1997, 7980"
1922169,2,0.045627376,2391193,1668
2039583,2,0.045317221,3.00E+05,8060
2115025,2,0.04516129,299941,8060
2022190,2,0.044917258,3.00E+06,"104Y, 1997"
2125483,2,0.044444444,349948,162Y
1946442,2,0.04375,1617544,1668
1922639,2,0.043126685,2999967,"1997, 7261"
1829008,2,0.042424242,2993421,"1997, 7261"
1754054,2,0.042194093,2502208,1668
1956114,2,0.042016807,828194,7980
2038029,2,0.041791045,3.00E+05,8060
1821775,2,0.041474654,299977,8060
2125295,2,0.041420118,2999513,1997
2125858,2,0.041322314,2415108,1997
1922291,2,0.041044776,2026410,1668
1900210,2,0.040909091,3.00E+05,8060
2022023,2,0.040865385,2999986,1997
2041788,2,0.040740741,299777,8060
