document,topic,gamma
1900210,2,0.040909091
1922291,2,0.041044776
2125858,2,0.041322314
2125295,2,0.041420118
1821775,2,0.041474654
2038029,2,0.041791045
1956114,2,0.042016807
1754054,2,0.042194093
1829008,2,0.042424242
1922639,2,0.043126685
1946442,2,0.04375
2125483,2,0.044444444
2022190,2,0.044917258
2115025,2,0.04516129
2039583,2,0.045317221
1922169,2,0.045627376
1822030,2,0.045901639
1922551,2,0.046511628
2042416,2,0.046728972
1829004,2,0.047486034
2125758,2,0.047505938
2100343,2,0.047619048
2022168,2,0.047619048
1848789,2,0.05015674
1828902,2,0.050445104
1821841,2,0.051282051
2125528,2,0.051428571
2000599,2,0.051671733
1922697,2,0.052023121
1829071,2,0.052459016
2125868,2,0.052757794
1760894,2,0.053191489
1927550,2,0.056451613
2043104,2,0.059139785
1842287,2,0.0609319
2121898,2,0.061818182
2030313,2,0.062034739
1937738,2,0.063973064
2120888,2,0.06424581
2125644,2,0.064516129
2125764,2,0.06501548
2043250,2,0.06557377
1829075,2,0.065934066
1828869,2,0.066666667
2021791,2,0.066869301
2030148,2,0.073825503
2023234,2,0.074404762
1922666,2,0.085872576
1760831,2,0.086513995
1928820,2,0.092857143
2041856,2,0.098484848
2139901,2,0.126666667
1807086,2,0.137829912
2140003,2,0.146666667
1954967,2,0.158501441
2138250,2,0.173770492
2105489,2,0.175710594
1806705,2,0.180212014
1806593,2,0.182033097
1855886,2,0.185628743
1955062,2,0.185628743
2105718,2,0.186440678
2105661,2,0.188498403
2105726,2,0.189602446
1954978,2,0.2
1856384,2,0.201834862
1955049,2,0.208459215
2105555,2,0.218637993
2105723,2,0.221402214
1806889,2,0.226415094
1806607,2,0.236979167
2105251,2,0.243076923
1855841,2,0.247349823
1954776,2,0.249097473
1806904,2,0.25
1856189,2,0.250755287
1955109,2,0.25304878
1954923,2,0.253644315
1954836,2,0.257142857
2105635,2,0.257861635
1806815,2,0.259375
1855978,2,0.266666667
1806698,2,0.271232877
1954946,2,0.28525641
1807056,2,0.286184211
2105721,2,0.290726817
2105254,2,0.293577982
1806874,2,0.300613497
1806323,2,0.303303303
1856302,2,0.3125
1806908,2,0.348242812
1856394,2,0.350609756
1855925,2,0.373626374
1856346,2,0.400684932
1806664,2,0.462068966
1806593,3,0.004728132
2125868,3,0.004796163
2125684,3,0.004914005
2105489,3,0.005167959
1919326,3,0.005405405
1937612,3,0.005494505
2120888,3,0.005586592
1806323,3,0.006006006
2021791,3,0.006079027
1955109,3,0.006097561
1922398,3,0.006116208
2105254,3,0.006116208
2105635,3,0.006289308
1954836,3,0.006349206
2024020,3,0.006389776
2025162,3,0.006430868
1921726,3,0.006493506
1822030,3,0.006557377
1760884,3,0.006578947
1842096,3,0.006578947
2117073,3,0.006622517
2030148,3,0.006711409
2125924,3,0.006711409
2114974,3,0.006756757
2015554,3,0.006756757
2114911,3,0.006779661
2112689,3,0.006968641
2126059,3,0.007042254
2000865,3,0.007117438
2115008,3,0.007246377
2121898,3,0.007272727
1920560,3,0.007281553
1855978,3,0.007407407
1761251,3,0.007490637
2025046,3,0.007614213
1760831,3,0.007633588
1949922,3,0.007722008
1806607,3,0.0078125
2037658,3,0.007843137
1819521,3,0.007874016
1760894,3,0.007978723
1820531,3,0.008
1956114,3,0.008403361
1754054,3,0.008438819
2000847,3,0.008547009
2100134,3,0.00877193
1926736,3,0.008955224
1820686,3,0.00913242
1856394,3,0.009146341
2000483,3,0.009174312
1761249,3,0.009202454
2125764,3,0.009287926
1946442,3,0.009375
2022190,3,0.009456265
2114680,3,0.009463722
1912753,3,0.009478673
2114789,3,0.00955414
2114936,3,0.009584665
2105661,3,0.009584665
2138250,3,0.009836066
2030313,3,0.009925558
2126031,3,0.009933775
2105721,3,0.010025063
2024584,3,0.010204082
1856302,3,0.010416667
1921840,3,0.010582011
2021693,3,0.010582011
2041970,3,0.010600707
1946553,3,0.010600707
2043324,3,0.010752688
1842287,3,0.010752688
2022055,3,0.010810811
2055062,3,0.010830325
1937714,3,0.010909091
1855925,3,0.010989011
2048018,3,0.011235955
1937490,3,0.011278195
2041960,3,0.011331445
1951688,3,0.011363636
1903423,3,0.011450382
1934285,3,0.011538462
2021713,3,0.011730205
1824258,3,0.011764706
2043095,3,0.01179941
2000388,3,0.01179941
2023234,3,0.011904762
